Year,Month,Total_Passengers,Total_Flights,Avg_Load_Factor
2014,7,4512,23619,73.6
2014,8,4316,23655,72.67
2014,9,4325,22690,73.14
2014,10,4728,23402,75.92
2014,11,4303,21555,74.87
2014,12,4431,20417,72.6
2015,1,4219,19725,70.26
2015,2,3800,20640,70.8
2015,3,4351,22399,72.34
2015,4,4289,22387,72.01
2015,5,4079,23322,70.12
2015,6,4011,23404,69.93
2015,7,4652,23430,73.54
2015,8,4324,24706,71.6
2015,9,4434,22547,72.92
2015,10,4724,22151,74.25
2015,11,4507,24227,73.23
2015,12,4621,21725,71.62
2016,1,4413,21661,69.41
2016,2,4076,23081,68.38
2016,3,4535,21790,71.21
2016,4,4393,22040,72.24
2016,5,4239,23849,71.81
2016,6,4165,23473,71.99
2016,7,4695,22942,74.21
2016,8,4407,24041,71.1
2016,9,4583,23860,73.53
2016,10,4743,21940,75.04
2016,11,4592,22024,74.43
2016,12,4677,21505,72.69
2017,1,4539,22615,71.32
2017,2,3959,21669,70.42
2017,3,4540,21947,72.84
2017,4,4470,21228,73.1
2017,5,4280,23290,72
2017,6,4228,22872,72.57
2017,7,4776,23360,75.92
2017,8,4461,23228,73.09
2017,9,4582,22570,76.41
2017,10,4904,22214,77.64
2017,11,4734,22247,76.92
2017,12,4762,21362,75.15
2018,1,4607,22119,72.49
2018,2,4110,20836,72.86
2018,3,4721,20064,76.19
2018,4,4592,21734,74.91
2018,5,4385,22707,74.2
2018,6,4250,21879,74.5
2018,7,4904,23027,77.82
2018,8,4645,22398,77.14
2018,9,4556,20743,76.97
2018,10,4946,22196,77.24
2018,11,4718,22934,77.71
2018,12,4653,20086,73.97
2019,1,4599,20963,71.48
2019,2,4076,20941,71.97
2019,3,4581,21016,73.54
2019,4,4628,21378,74.54
2019,5,4389,23361,72.92
2019,6,4215,22362,73.56
2019,7,4888,22565,76.54
2019,8,4651,22316,77.75
2019,9,4646,21294,77.54
2019,10,5072,22255,79.57
2019,11,4747,21838,78.96
2019,12,4756,20139,76.22
2020,1,4615,20183,75.32
2020,2,3932,20995,70.82
2020,3,2731,19708,59.55
2020,4,419,3135,28.84
2020,5,104,2236,48.94
2020,6,251,3456,62.09
2020,7,521,5974,61.35
2020,8,1300,5048,47.55
2020,9,1408,5892,49.13
2020,10,1470,7559,55.56
2020,11,747,8768,60.65
2020,12,1719,13609,63.9
2021,1,1249,14376,56.4
2021,2,1260,11880,60.7
2021,3,2350,17792,65.77
2021,4,3021,18420,66.96
2021,5,2851,18664,67.18
2021,6,1852,17902,60.02
2021,7,981,13868,46.61
2021,8,2913,8163,37.83
2021,9,4022,9935,44.27
2021,10,4438,10591,44.71
2021,11,2055,12416,51.08
2021,12,2137,18482,54.46
2022,1,2142,14828,56.34
2022,2,2042,14300,68.11
2022,3,3060,16158,70.94
2022,4,4045,20566,73.74
2022,5,3791,20175,71.55
2022,6,3957,20939,75.88
2022,7,4199,20947,80.85
2022,8,3897,20682,77.49
2022,9,4099,20250,81.41
2022,10,4269,21134,80.33
2022,11,4131,21551,77.93
2022,12,4061,20343,73.3
2023,1,4022,22245,70.6
2023,2,3547,21163,71.73
2023,3,4261,20963,76.1
2023,4,4112,20398,74.17
2023,5,4039,20655,74.07
2023,6,3983,21063,74.61
2023,7,4351,21024,76.5
2023,8,4254,21203,76.25
2023,9,4355,20515,77.86
2023,10,4557,21292,77.89
2023,11,4418,20216,79.1
2023,12,4308,20314,75.16
2024,1,4219,20424,71.01
2024,2,4018,18967,74.95
2024,3,4356,20150,76.04
2024,4,4262,20502,73.93
2024,5,4158,21051,75.41
2024,6,4019,20179,75.53
2024,7,4488,21141,77.36
2024,8,4318,21191,78.52
2024,9,4394,20067,79.1
2024,10,4741,20666,81.37
2024,11,4502,19400,82.23
2024,12,4527,20069,77.75
2025,1,4535,20435,77.64
2025,2,3852,19654,75.78
2025,3,4184,19982,76.19
2025,4,4483,19747,78.6
2025,5,4257,20744,77.1
2025,6,4121,20398,77.18
2025,7,4682,20070,79.17
2025,8,4422,21029,78.78
2025,9,4484,20419,78.46
2025,10,4900,20919,80.98
2025,11,4606,19840,80.88
2025,12,4713,19918,77.5
