Route,Year,Annual_Passengers,Avg_Load_Factor,Annual_Flights
ADL-MEL,2014,983,78.73,141
ADL-MEL,2015,2305,77.92,12
ADL-MEL,2016,2388,79.03,12
ADL-MEL,2017,2449,80.42,12
ADL-MEL,2018,2492,81,12
ADL-MEL,2019,2534,81.15,12
ADL-MEL,2020,609,39.89,2090
ADL-MEL,2021,635,48.63,3733
ADL-MEL,2022,1958,78.3,1691
ADL-MEL,2023,2278,81.91,12
ADL-MEL,2024,2326,83.95,12
ADL-MEL,2025,2390,83.9,12
BNE-MEL,2014,1513,78.92,693
BNE-MEL,2015,3347,77.29,23
BNE-MEL,2016,3486,80.39,24
BNE-MEL,2017,3536,80.97,23
BNE-MEL,2018,3564,82.17,23
BNE-MEL,2019,3603,83.58,22
BNE-MEL,2020,923,56.35,1830
BNE-MEL,2021,783,49.87,3926
BNE-MEL,2022,2800,81.67,13
BNE-MEL,2023,3306,82.36,20
BNE-MEL,2024,3493,83.83,22
BNE-MEL,2025,3641,84.83,22
BNE-SYD,2014,1999,81.25,801
BNE-SYD,2015,4470,79.86,30
BNE-SYD,2016,4651,81.63,29
BNE-SYD,2017,4740,82.51,29
BNE-SYD,2018,4821,83.54,28
BNE-SYD,2019,4816,83.17,28
BNE-SYD,2020,1292,59.88,3777
BNE-SYD,2021,1088,49.48,2248
BNE-SYD,2022,3587,78.72,22
BNE-SYD,2023,4243,80.99,24
BNE-SYD,2024,4352,83.97,24
BNE-SYD,2025,4377,85.96,24
MEL-PER,2014,911,76.68,988
MEL-PER,2015,2131,77.39,4859
MEL-PER,2016,2067,80.86,8515
MEL-PER,2017,2027,83.58,11110
MEL-PER,2018,2107,85.27,8558
MEL-PER,2019,2104,85.3,4919
MEL-PER,2020,547,41.69,3674
MEL-PER,2021,266,40.58,3825
MEL-PER,2022,1339,81.73,7917
MEL-PER,2023,1909,83.27,920
MEL-PER,2024,2024,83.62,12
MEL-PER,2025,2104,86.58,1004
MEL-SYD,2014,3578,83.26,20
MEL-SYD,2015,8609,81.37,54
MEL-SYD,2016,8900,83.61,54
MEL-SYD,2017,9104,84.28,148
MEL-SYD,2018,9232,85.63,54
MEL-SYD,2019,9176,85.23,54
MEL-SYD,2020,2243,55.49,3878
MEL-SYD,2021,2113,48.33,2457
MEL-SYD,2022,6570,80.96,43
MEL-SYD,2023,7618,81.98,48
MEL-SYD,2024,8034,83.49,48
MEL-SYD,2025,8116,85.18,48
PER-SYD,2014,799,77.1,4112
PER-SYD,2015,1755,78.58,9148
PER-SYD,2016,1748,81.13,9154
PER-SYD,2017,1711,81.88,9031
PER-SYD,2018,1713,83.88,9085
PER-SYD,2019,1686,84.67,9006
PER-SYD,2020,432,44.81,3095
PER-SYD,2021,308,38.05,3097
PER-SYD,2022,1113,81.87,6807
PER-SYD,2023,1581,84.34,9737
PER-SYD,2024,1634,85.63,10097
PER-SYD,2025,1743,85.36,9896
